ScientificName,Wspan_Min,Wspan_Max,Wspan_range,HPFam_category,Diapause
Agriadesglandon,22,26,4,Broad Oligophagous,Unknown
Anthocharissara,27,40,13,Strict Oligophagous,Pupa
Boloriachariclea,31,34,3,Broad Oligophagous,Multiple
Boloriaepithore,34,49,15,Strict Oligophagous,Larva
Callophrysaugustinus,2,2.8,0.8,Broad Oligophagous,Unknown
Callophrysmossii,20,24,4,Strict Oligophagous,Unknown
Carterocephaluspalaemon,26,31,5,Strict Oligophagous,Larva
Cercyonispegala,48,76,28,Strict Oligophagous,Larva
Chlosynehoffmanni,34,42,8,Strict Oligophagous,Unknown
Chlosynepalla,31,44,13,Strict Oligophagous,Larva
Coliaseurytheme,41,61,20,Strict Oligophagous,Larva
Coliasphilodice,42,62,20,Strict Oligophagous,Pupa
Erebiaepipsodea,47,52,5,Strict Oligophagous,Larva
Erebiavidleri,41,46,5,Strict Oligophagous,Unknown
Erynnispersius,32,40,8,Unknown,Unknown
Euphydryaseditha,26,43,17,Broad Oligophagous,Larva
Hesperiacomma,29,38,9,Broad Oligophagous,Egg
Hesperiajuba,26,38,12,Strict Oligophagous,Unknown
Limenitislorquini,49,65,16,Broad Oligophagous,Larva
Lycaenahelloides,28,36,8,Broad Oligophagous,Multiple
Lycaenaheteronea,25,33,8,Strict Oligophagous,Egg
Lycaenamariposa,27,32,5,Broad Oligophagous,Egg
Neophasiamenapia,50,66,16,Strict Oligophagous,Egg
Nymphalisantiopa,68,87,19,Broad Oligophagous,Adult
Nymphaliscalifornica,60,70,10,Strict Oligophagous,Adult
Ochlodessylvanoides,20,28,8,Strict Oligophagous,Larva
Oeneisnevadensis,50,55,5,Strict Oligophagous,Unknown
Papilioeurymedon,67,89,22,Broad Oligophagous,Unknown
Papilioindra,52,71,19,Strict Oligophagous,Pupa
Papiliozelicaon,58,74,16,Strict Oligophagous,Pupa
Parnassiusclodius,55,69,14,Strict Oligophagous,Unknown
Parnassiussmintheus,42,59,17,Strict Oligophagous,Unknown
Phyciodesmylitta,26,37,11,Strict Oligophagous,Larva
Phyciodespulchella,35,45,10,Strict Oligophagous,Larva
Pierismarginalis,36,42,6,Strict Oligophagous,Pupa
Pierisrapae,38,51,13,Strict Oligophagous,Pupa
Plebejusacmon,19,24,5,Polyphagous,Larva
Plebejuslupini,17,29,12,Strict Oligophagous,Unknown
Plebejussaepiolus,26,32,6,Strict Oligophagous,Larva
Polygoniafaunus,36,52,16,Broad Oligophagous,Adult
Polygoniagracilis,49,56,7,Strict Oligophagous,Adult
Polygoniasatyrus,50,62,12,Strict Oligophagous,Adult
Pontiaoccidentalis,44,54,10,Strict Oligophagous,Unknown
Speyeriacoronis,64,86,22,Strict Oligophagous,Unknown
Speyeriahydaspe,41,58,17,Unknown,Unknown
Speyeriamormonia,41,52,11,Unknown,Unknown
Strymonmelinus,28,34,6,Polyphagous,Larva
Vanessaatalanta,28,35,7,Strict Oligophagous,None
Vanessacardui,46,64,18,Broad Oligophagous,None
